low tk & png,hougang,2
low tk & png,WP,2
hougang,WP,2
WP,singapor,8
unit,unit,2
pm lee,singapor,14
pm lee,mask,2
pm lee,pm lee,4
pm lee,singaporean,8
pm lee,kebun baru,2
pm lee,great speech,2
pm lee,minist,2
singapor,singapor,66
singapor,esm,2
singapor,chok tong',2
singapor,tan cheng bock,2
singapor,singaporean,4
singapor,felsey,14
singapor,lee hsien loong,6
singapor,hong kong,2
singapor,spf,2
singapor,india,2
singapor,GE,4
singapor,TH,4
singapor,ensur,2
singapor,author,2
esm,chok tong',2
esm,tan cheng bock,2
esm,singaporean,2
chok tong',tan cheng bock,2
chok tong',singaporean,2
tan cheng bock,singaporean,2
singaporean,singaporean,2
singaporean,the singapore police forc,2
singaporean,author,2
singaporean,heng,2
loyal,lki,2
lki,maxwell market,4
lki,duxton hill craig,4
lki,lki,2
lee hsien loong,lee kuan yew,2
s leagu,sgunit,2
maxwell market,duxton hill craig,2
lovely singapor,singapore unit,2
father,united singapor,2
khaw boon wan,gentleman,2
khaw boon wan,best wish,2
gentleman,best wish,2
UK,lhl,2
UK,che guevara,2
lhl,che guevara,2
vfc vote,voteoutjuntapapig,2
breakthrough,parliament,2
parliament,employ,2
parliament,ministry of manpow,2
parliament,the authority like ministry!,2
psp,lhi,2
psp,tanjong pagar,2
lhi,tanjong pagar,2
lhi,saf,2
ahtc wp’,ahtc,2
istana,bkt panjang,2
istana,viv,2
bkt panjang,viv,2
thursdayal,saliva,2
workers parti,khiang chen show mao,2
workers parti,png eng huat,2
khiang chen show mao,png eng huat,2
GE,TH,2
CB,dorscon r,2
punggol waterway,punggol,2
hindu,ganesh,2
employ,ministry of manpow,2
employ,the authority like ministry!,2
ministry of manpow,the authority like ministry!,2
george orwel,winston smith,2
red dot unit,cheer,2
liao,lol,2
